연도,번호,구분,종목,업종,증권사,수요예측_경쟁률,밴드상단_초과비율,일반청약_경쟁률,의무확약비율_전,의무확약비율_후,유통주식수_비율,유통주식_비율_후,시가총액_억원,환매청구권,특이점,공모가,시초가,시초가_수익률,첫날_종가,종가_수익률,평균_매도가,수익률,수익금,세금_고려
2025,45,일반,더핑크퐁컴퍼니,완구,"미래, 삼성",615.89,,848.0,0.3042,0.719,0.3384,0.2664588300018338,5453.0,,,38000.0,58000.0,0.5263157894736842,41550.0,-0.2836206896551724,59200.0,0.5578947368421052,211091.0,
2025,46,일반,그린광학,광학소재,신영,962.34,,1199.91,0.6543,0.9524,0.3246,0.2425,1872.0,,,16000.0,54000.0,2.375,22850.0,-0.5768518518518518,,,,
2025,47,일반,씨엠티엑스,반도체 소재,미래,756.19,,1833.02,0.7177,0.962,0.32,0.2418894830659536,5610.0,,,60500.0,152000.0,1.512396694214876,131600.0,-0.1342105263157894,151700.0,1.5074380165289256,363868.0,
2025,48,일반,아로마티카,기능성 화장품,신한투자,1152.98,,2864.67,0.5801,0.909,0.3137,0.1643,1017.0,,,8000.0,27500.0,2.4375,19920.0,-0.2756363636363636,29300.0,2.6625,212011.0,
2025,49,일반,에임드바이오,바이오,미래,671.98,,1736.77,0.7422,0.968,0.2414,0.168626895281281,7057.0,,,11000.0,44000.0,3.0,44000.0,0.0,44000.0,3.0,757446.0,
2025,50,일반,테라뷰홀딩스,반도체 장비,삼성증권,646.0,,42.75,0.1019,0.763,0.341,0.2604716649067229,2841.0,,,8000.0,12000.0,0.5,16000.0,0.3333333333333333,,,,
2025,51,일반,페스카로,모빌리티 보안,"NH, 한화",1173.21,,1430.3,0.1043,0.6622,0.3218,0.255,1497.0,,,15500.0,45000.0,1.903225806451613,27100.0,-0.3977777777777778,45150.0,1.9129032258064516,88747.0,
2025,52,일반,이지스,소프트웨어,NH투자,1109.86,,546.14,0.0631,0.6456,0.2713,0.1953,1433.0,,,15000.0,32000.0,1.1333333333333333,20500.0,-0.359375,,,,
2025,53,일반,티엠씨,"케이블(방산,dc,선박)",미래에셋,959.96,,1305.47,0.5342,0.8559,0.2155,0.1122,2241.0,,,9300.0,22550.0,1.424731182795699,16770.0,-0.2563192904656319,21292.85714285714,1.2895545314900152,418612.0,
2025,54,일반,쿼드메디슨,의약 플랫폼,nh투자,1139.61,,607.39,0.1782,0.7198,0.399,0.3235,1701.0,,,15000.0,23950.0,0.5966666666666667,17630.0,-0.2638830897703549,,,,
2025,55,일반,아크릴,ax인프라,신한투자,790.49,,1129.83,0.5275,0.912,0.363,0.1773778920308483,1556.0,,,19500.0,45900.0,1.353846153846154,67000.0,0.4596949891067538,,,,
2025,56,일반,알지노믹스,바이오,"NH, 삼성",848.91,,1871.43,0.7429,0.828,0.3527,0.2594507269789984,3095.0,,,22500.0,90000.0,3.0,90000.0,0.0,152100.0,5.76,905573.0,
2025,57,일반,삼진어묵,식품,대신,1303.87,,3224.76,0.4105,0.7713,0.3757,0.2591,754.0,,,7600.0,22900.0,2.013157894736842,19210.0,-0.1611353711790393,22800.0,2.0,90726.0,
2025,58,일반,나라스페이스테크놀로지,항공우주,삼성증권,879.0,,699.64,0.0553,0.2353,0.3241,0.2978947368421052,1900.0,,,16500.0,34000.0,1.0606060606060606,27150.0,-0.2014705882352941,,,,
2025,59,일반,리브스메드,의료기기,"미래, 삼성",231.87,,390.0,0.1712,0.417,0.324,0.2939226519337016,13575.0,,,55000.0,66000.0,0.2,49600.0,-0.2484848484848484,,,,
2025,60,일반,세미파이브,반도체 설계,삼증,436.89,,967.6,0.4393,0.7048,0.3696,0.2849020456090476,8090.5,,,24000.0,41700.0,0.7375,27650.0,-0.3369304556354916,41400.0,0.725,242423.0,
2024,1,일반,우진엔텍,계측설비,KB,1263.0,,2707.18,0.17,0.443,0.177,0.123,491.0,,,,21200.0,3.0,21200.0,0.0,26037.5,3.912735849056604,82764.0,
2024,2,일반,HB인베스트먼트,벤처캐피털,NH,838.0,,892.56,0.077,0.176,0.3381,0.3054,913.0,,,,10100.0,1.9705882352941175,6700.0,-0.3366336633663366,10100.0,1.9705882352941175,46773.0,
2024,3,일반,현대힘스,조선기자재,미래에셋,680.8,,1221.48,0.119,0.3334,0.22,0.167,2542.0,,,,29200.0,3.0,29200.0,0.0,28116.666666666668,2.851598173515982,311482.0,
2024,4,일반,포스뱅크,기계제조,하나증권,839.0,,1397.07,0.062,0.1236,0.297,,1684.0,,,,47550.0,1.6416666666666666,23350.0,-0.508937960042061,,,,
2024,5,일반,이닉스,2차전지부품,삼성증권,670.6,,1997.2,0.2531,0.461,0.3142,0.189,1270.0,,,,46550.0,2.325,37100.0,-0.2030075187969924,46550.0,2.325,227254.0,
2024,6,일반,스튜디오삼익,가구,DB금융,966.9,,2649.59,0.0555,,0.2454,,760.0,,실적대비 비싸다,,52000.0,1.8888888888888888,39900.0,-0.2326923076923077,,,,
2024,7,일반,코셈,전자현미경,키움증권,1267.6,,2518.4,0.1004,0.37,0.3408,0.296,905.9,,상단 초과,,42000.0,1.625,25550.0,-0.3916666666666666,43920.0,1.745,139185.0,
2024,8,일반,이에이트,디지털트윈,한화투자,630.64,,381.16,0.0235,,0.406,,1893.0,,상단 초과,,26150.0,0.3075,22600.0,-0.135755258126195,,,,
2024,9,일반,케이웨더,기상데이터,NH,1362.5,,1988.834,0.0393,0.147,0.3622,0.355,696.0,,상단 초과,,19920.0,1.8457142857142856,16600.0,-0.1666666666666666,20000.0,1.8571428571428572,38892.0,
2024,10,일반,에이피알,뷰티테크,신한/하나,663.18,,1112.43,0.2904,0.5221,0.3586,0.354,18960.0,,상단 초과,,445500.0,0.782,317500.0,-0.287317620650954,,,,
2024,11,일반,케이엔알시스템,유압로봇,"db, nh투자",873.2,,2774.67,0.1593,0.6717,0.3141,0.244,1467.0,,상단초과,,37400.0,1.7703703703703704,27050.0,-0.2767379679144385,37400.0,1.7703703703703704,142997.0,
2024,12,일반,오상헬스케어,체외진단,nh투자,993.21,,2126.13,0.0285,0.0769,0.3526,0.3652,2820.0,,상단초과,,33250.0,0.6625,29350.0,-0.1172932330827067,33500.0,0.675,26880.0,
2024,13,일반,삼현,자동차 부품,한국투자,649.11,,1645.13,0.1064,0.517,0.1841,0.117,3170.0,,상단초과,,67000.0,1.2333333333333334,47000.0,-0.2985074626865671,44350.0,0.4783333333333333,71343.0,
2024,14,일반,엔젤로보틱스,로봇,nh투자,1157.1,,2242.02,0.1667,0.463,0.3,0.27,2803.0,,상단초과,,50500.0,1.525,65000.0,0.2871287128712871,50600.0,1.53,91527.0,
2024,15,일반,아이엠비디엑스,ai의료,미래에셋,865.73,,2654.2,0.045,0.198,0.2099,0.187,1819.0,,상단 초과,,28550.0,1.196153846153846,36000.0,0.2609457092819615,29200.0,1.2461538461538462,113033.0,
2024,16,일반,제일엠앤에스,2차전지 장비,kb증권,645.91,,1438.96,0.0549,0.2015,0.1739,0.178,4532.0,,상단초과,,37700.0,0.7136363636363636,27000.0,-0.2838196286472148,,,,
2024,17,일반,디앤디파마텍,제약,한국투자,848.5,,1543.97,0.1096,0.3996,0.2537,0.237,3442.0,,상단초과,,49250.0,0.4924242424242424,36500.0,-0.2588832487309644,49950.0,0.5136363636363637,33718.0,
